Opening CAPTURA-01.cap
Reading packets, please wait...[KRead 6049 packets.

   #  BSSID              ESSID                     Encryption

   1  80:B6:86:D5:F9:4B  laboratorio wifi          WEP (614 IVs)

Choosing first network as target.

Opening CAPTURA-01.cap
Reading packets, please wait...Attack will be restarted every 5000 captured ivs.
Starting PTW attack with 614 ivs.
[2J[2;66HAircrack-ng 1.2 rc4

[5;50H[00:00:00] Tested 631 keys (got 614 IVs)[K[7;4HKB    depth   byte(vote)
    0    8/ 10   FE(1536) 00(1280) 08(1280) 26(1280) 32(1280) 3B(1280) 49(1280) 6A(1280) 7B(1280) 84(1280) 91(1280) 
    1    0/  1   1D(2560) AF(2048) 43(1792) C8(1792) 0F(1536) 2D(1536) 31(1536) 9D(1536) 9F(1536) D6(1536) EA(1536) 
    2    1/  2   BB(2048) 2A(1536) 50(1536) 77(1536) D0(1536) DF(1536) FE(1536) 09(1280) 15(1280) 19(1280) 26(1280) 
    3    4/  5   1E(1536) 1E(1280) 26(1280) 27(1280) 29(1280) 35(1280) 37(1280) 3F(1280) 41(1280) 49(1280) 51(1280) 
    4    0/  7   5E(1792) 0F(1536) 26(1536) C2(1536) D4(1536) EB(1536) ED(1536) 03(1280) 1D(1280) 2C(1280) 4F(1280) 
[J
[2;66HAircrack-ng 1.2 rc4

[5;50H[00:00:00] Tested 739 keys (got 614 IVs)[K[7;4HKB    depth   byte(vote)
    0    8/  9   FE(1536) 00(1280) 08(1280) 26(1280) 32(1280) 3B(1280) 49(1280) 6A(1280) 7B(1280) 84(1280) 91(1280) 
    1    0/  1   1D(2560) AF(2048) 43(1792) C8(1792) 0F(1536) 2D(1536) 31(1536) 9D(1536) 9F(1536) D6(1536) EA(1536) 
    2    1/  2   BB(2048) 2A(1536) 50(1536) 77(1536) D0(1536) DF(1536) FE(1536) 09(1280) 15(1280) 19(1280) 26(1280) 
    3    4/  3   F4(1536) 1E(1280) 26(1280) 27(1280) 29(1280) 35(1280) 37(1280) 3F(1280) 41(1280) 49(1280) 51(1280) 
    4    0/  4   63(1792) 0F(1536) 26(1536) C2(1536) D4(1536) EB(1536) ED(1536) 03(1280) 1D(1280) 2C(1280) 4F(1280) 
[J
[2;66HAircrack-ng 1.2 rc4

[5;50H[00:00:00] Tested 787 keys (got 614 IVs)[K[7;4HKB    depth   byte(vote)
    0    3/  5   7D(1792) 0D(1536) 9D(1536) BF(1536) D8(1536) FE(1536) 00(1280) 08(1280) 26(1280) 32(1280) 3B(1280) 
    1    0/  1   9E(2560) AF(2048) 43(1792) C8(1792) 0F(1536) 2D(1536) 31(1536) 9D(1536) 9F(1536) D6(1536) EA(1536) 
    2    0/  2   8F(2048) D6(2048) 2A(1536) 50(1536) 77(1536) D0(1536) DF(1536) FE(1536) 09(1280) 15(1280) 19(1280) 
    3    4/  3   F4(1536) 1E(1280) 26(1280) 27(1280) 29(1280) 35(1280) 37(1280) 3F(1280) 41(1280) 49(1280) 51(1280) 
    4    0/  4   52(1792) 0F(1536) 26(1536) C2(1536) D4(1536) EB(1536) ED(1536) 03(1280) 1D(1280) 2C(1280) 4F(1280) 
[J
[2;66HAircrack-ng 1.2 rc4

[5;50H[00:00:01] Tested 1048577 keys (got 614 IVs)[K[7;4HKB    depth   byte(vote)
    0    3/  4   7D(1792) 0D(1536) 9D(1536) BF(1536) D8(1536) FE(1536) 00(1280) 08(1280) 26(1280) 32(1280) 3B(1280) 
    1    0/  1   9E(2560) AF(2048) 43(1792) C8(1792) 0F(1536) 2D(1536) 31(1536) 9D(1536) 9F(1536) D6(1536) EA(1536) 
    2    1/  2   BB(2048) 2A(1536) 50(1536) 77(1536) D0(1536) DF(1536) FE(1536) 09(1280) 15(1280) 19(1280) 26(1280) 
    3    0/  3   67(1792) 4C(1792) 6D(1792) 63(1536) F4(1536) 1E(1280) 26(1280) 27(1280) 29(1280) 35(1280) 37(1280) 
    4    0/  1   06(1792) 0F(1536) 26(1536) C2(1536) D4(1536) EB(1536) ED(1536) 03(1280) 1D(1280) 2C(1280) 4F(1280) 
    5    0/  1   4B(2816) 94(2048) DC(1792) 10(1536) 28(1536) 41(1536) 6C(1536) 71(1536) 96(1536) AC(1536) C3(1536) 
    6    0/  1   40(2048) 72(1792) 19(1536) 24(1536) 2A(1536) 41(1536) 5F(1536) 98(1536) DF(1536) 08(1280) 13(1280) 
    7    0/  1   3D(2048) BF(2048) 6C(1792) 87(1792) 99(1792) E6(1792) 00(1536) 08(1536) 63(1536) 7D(1536) 97(1536) 
    8    0/  1   F8(1792) F4(1792) 02(1536) 13(1536) 63(1536) 86(1536) 9B(1536) C5(1536) 17(1280) 25(1280) 42(1280) 
    9    0/  1   AA(1792) 09(1536) B2(1536) CF(1536) 2C(1280) 35(1280) 38(1280) 3F(1280) 42(1280) 4F(1280) 63(1280) 
   10    0/  1   9C(1792) F8(1792) 53(1536) 5A(1536) 7A(1536) 7F(1536) C5(1536) 01(1280) 05(1280) 0A(1280) 0C(1280) 
   11    0/  1   96(2304) 26(2048) 87(2048) 23(1536) 3B(1536) 3E(1536) 61(1536) 93(1536) AE(1536) DC(1536) E3(1536) 
