
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
EC:43:F6:91:CF:59, 2016-05-31 10:51:37, 2016-05-31 10:51:37,  1,  54, WPA, CCMP TKIP,PSK, -84,        1,        0,   0.  0.  0.  0,   9, WLAN_CF58, 
30:B5:C2:F4:16:F3, 2016-05-31 10:51:43, 2016-05-31 10:51:55,  4,  54, WPA2 WPA, CCMP TKIP,PSK, -89,        2,        0,   0.  0.  0.  0,  12, Orange-DC500, 
B8:05:AB:F4:E8:60, 2016-05-31 10:52:00, 2016-05-31 10:52:00,  1,  54, WPA2 WPA, CCMP,PSK, -87,        2,        0,   0.  0.  0.  0,   7, MARCELO, 
4C:09:D4:66:35:DE, 2016-05-31 10:51:55, 2016-05-31 10:51:55,  4,  -1, WPA, ,   , -86,        0,        1,   0.  0.  0.  0,   0, , 
60:E3:27:39:89:D2, 2016-05-31 10:51:38, 2016-05-31 10:52:02, 13,  48, WPA2, CCMP,PSK, -84,        7,        0,   0.  0.  0.  0,  21, TP-LINK_2.4GHz_3989D2, 
5C:DC:96:4E:26:C0, 2016-05-31 10:51:58, 2016-05-31 10:51:59,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -81,        2,        1,   0.  0.  0.  0,  11, Orange-26BE, 
DC:53:7C:8F:AB:D3, 2016-05-31 10:51:38, 2016-05-31 10:52:02, 13,  54, WPA2 WPA, CCMP TKIP,PSK, -80,        7,        2,   0.  0.  0.  0,  20, Hostal Los Guerreros, 
E0:41:36:40:47:6C, 2016-05-31 10:51:47, 2016-05-31 10:51:59,  6,  54, WPA2, CCMP,PSK, -76,        6,        1,   0.  0.  0.  0,  13, MOVISTAR_476C, 
DC:53:7C:7B:3A:88, 2016-05-31 10:51:42, 2016-05-31 10:52:06,  9,  54, WPA2 WPA, CCMP TKIP,PSK, -72,        8,        0,   0.  0.  0.  0,   7, ONO92F3, 
00:22:F7:23:83:30, 2016-05-31 10:51:47, 2016-05-31 10:51:59,  6,  54, WPA2, CCMP TKIP,PSK, -70,        5,        0,   0.  0.  0.  0,   7, C150APM, 
90:67:1C:79:0E:E0, 2016-05-31 10:51:39, 2016-05-31 10:52:03,  2,  54, WPA2, CCMP,PSK, -54,        8,        1,   0.  0.  0.  0,  12, vodafone0EDA, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
D0:A6:37:E1:F3:C0, 2016-05-31 10:51:37, 2016-05-31 10:51:37, -84,        1, (not associated) ,
10:08:C1:81:93:D7, 2016-05-31 10:51:44, 2016-05-31 10:51:58, -56,        3, (not associated) ,

