
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
60:E3:27:39:89:D2, 2016-06-13 20:43:47, 2016-06-13 20:43:57, 13,  48, WPA2, CCMP,PSK, -82,        9,        0,   0.  0.  0.  0,  21, TP-LINK_2.4GHz_3989D2, 
DC:53:7C:8F:AB:D3, 2016-06-13 20:43:47, 2016-06-13 20:43:57, 13,  54, WPA2 WPA, CCMP TKIP,PSK, -71,       22,        4,   0.  0.  0.  0,  20, Hostal Los Guerreros, 
00:22:F7:23:83:30, 2016-06-13 20:43:47, 2016-06-13 20:43:57,  6,  54, WPA2, CCMP TKIP,PSK, -65,       14,        0,   0.  0.  0.  0,   7, C150APM, 
DC:53:7C:7B:3A:88, 2016-06-13 20:43:47, 2016-06-13 20:43:57,  9,  54, WPA2 WPA, CCMP TKIP,PSK, -65,       31,        2,   0.  0.  0.  0,   7, ONO92F3, 
E0:41:36:40:47:6C, 2016-06-13 20:43:47, 2016-06-13 20:43:57,  6,  54, WPA2, CCMP,PSK, -54,       29,        0,   0.  0.  0.  0,  13, MOVISTAR_476C, 
90:67:1C:79:0E:E0, 2016-06-13 20:43:47, 2016-06-13 20:43:59,  1,  54, WPA2, CCMP,PSK, -47,       24,        1,   0.  0.  0.  0,  12, vodafone0EDA, 
80:B6:86:D5:F9:4B, 2016-06-13 20:43:47, 2016-06-13 20:43:57, 11,  54, WEP, WEP,   , -43,       36,        0,   0.  0.  0.  0,  16, laboratorio wifi, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs

