
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
F4:06:8D:8F:33:79, 2016-07-09 19:51:42, 2016-07-09 19:51:46, 11,  54, WPA2, CCMP,PSK, -86,        2,        0,   0.  0.  0.  0,  19, devolo-f4068d8f3379, 
C8:51:95:8D:42:9C, 2016-07-09 19:51:42, 2016-07-09 19:52:03, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -86,        2,        0,   0.  0.  0.  0,  11, Orange-429D, 
5C:DC:96:4E:26:C0, 2016-07-09 19:51:46, 2016-07-09 19:52:07,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -83,        7,        2,   0.  0.  0.  0,  11, Orange-26BE, 
4C:09:D4:66:35:DE, 2016-07-09 19:51:41, 2016-07-09 19:52:02,  4,  54, WPA2, CCMP,PSK, -83,        8,        2,   0.  0.  0.  0,  12, Orange-DC500, 
98:97:D1:72:8C:9F, 2016-07-09 19:51:39, 2016-07-09 19:52:08,  1,  54, WPA2, CCMP,PSK, -78,       16,        0,   0.  0.  0.  0,  13, MOVISTAR_8C9E, 
DC:53:7C:8F:AB:D3, 2016-07-09 19:51:43, 2016-07-09 19:52:08,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -78,        5,        2,   0.  0.  0.  0,  20, HOSTAL LOS GUERREROS, 
60:E3:27:39:89:D2, 2016-07-09 19:51:39, 2016-07-09 19:52:08, 13,  48, WPA2, CCMP,PSK, -77,       15,        0,   0.  0.  0.  0,  21, TP-LINK_2.4GHz_3989D2, 
DC:53:7C:7B:3A:88, 2016-07-09 19:51:40, 2016-07-09 19:52:06,  9,  54, WPA2 WPA, CCMP TKIP,PSK, -74,        9,        0,   0.  0.  0.  0,   7, ONO92F3, 
E0:41:36:40:47:6C, 2016-07-09 19:51:42, 2016-07-09 19:52:07,  6,  54, WPA2, CCMP,PSK, -68,       11,        0,   0.  0.  0.  0,  13, MOVISTAR_476C, 
00:22:F7:23:83:30, 2016-07-09 19:51:42, 2016-07-09 19:52:07,  6,  54, WPA2, CCMP TKIP,PSK, -64,       10,        0,   0.  0.  0.  0,   7, C150APM, 
90:67:1C:79:0E:E0, 2016-07-09 19:51:39, 2016-07-09 19:52:08,  1,  54, WPA2, CCMP,PSK, -52,       19,        2,   0.  0.  0.  0,  12, vodafone0EDA, 
80:B6:86:D5:F9:4B, 2016-07-09 19:51:42, 2016-07-09 19:52:07, 11,  54, WPA, CCMP,PSK, -40,       17,        0,   0.  0.  0.  0,  16, laboratorio wifi, 
EC:43:F6:91:CF:59, 2016-07-09 19:52:03, 2016-07-09 19:52:03,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
40:33:1A:74:23:E7, 2016-07-09 19:52:03, 2016-07-09 19:52:03, -72,        1, E0:41:36:40:47:6C,
B8:44:D9:E4:76:21, 2016-07-09 19:51:59, 2016-07-09 19:51:59, -68,        1, E0:41:36:40:47:6C,

