Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;devolo-f4068d8f3379;F4:06:8D:8F:33:79;;11;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Sat Jul  9 19:51:42 2016;Sat Jul  9 19:51:46 2016;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Orange-429D;C8:51:95:8D:42:9C;;11;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Sat Jul  9 19:51:42 2016;Sat Jul  9 19:52:03 2016;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Orange-26BE;5C:DC:96:4E:26:C0;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;7;0;2;0;0;2;;;Sat Jul  9 19:51:46 2016;Sat Jul  9 19:52:07 2016;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;Orange-DC500;4C:09:D4:66:35:DE;;4;No;WPA2,AES-CCM;No;54.0;0;8;0;2;0;0;2;;;Sat Jul  9 19:51:41 2016;Sat Jul  9 19:52:02 2016;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;MOVISTAR_8C9E;98:97:D1:72:8C:9F;;1;No;WPA2,AES-CCM;No;54.0;0;16;0;0;0;0;0;;;Sat Jul  9 19:51:39 2016;Sat Jul  9 19:52:08 2016;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;HOSTAL LOS GUERREROS;DC:53:7C:8F:AB:D3;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;5;0;2;0;0;2;;;Sat Jul  9 19:51:43 2016;Sat Jul  9 19:52:08 2016;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;TP-LINK_2.4GHz_3989D2;60:E3:27:39:89:D2;;13;No;WPA2,AES-CCM;No;48.0;0;15;0;0;0;0;0;;;Sat Jul  9 19:51:39 2016;Sat Jul  9 19:52:08 2016;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;ONO92F3;DC:53:7C:7B:3A:88;;9;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;9;0;0;0;0;0;;;Sat Jul  9 19:51:40 2016;Sat Jul  9 19:52:06 2016;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;MOVISTAR_476C;E0:41:36:40:47:6C;;6;No;WPA2,AES-CCM;No;54.0;0;11;0;0;0;0;0;;;Sat Jul  9 19:51:42 2016;Sat Jul  9 19:52:07 2016;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;C150APM;00:22:F7:23:83:30;;6;No;WPA2,AES-CCM,TKIP;No;54.0;0;10;0;0;0;0;0;;;Sat Jul  9 19:51:42 2016;Sat Jul  9 19:52:07 2016;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;vodafone0EDA;90:67:1C:79:0E:E0;;1;No;WPA2,AES-CCM;No;54.0;0;19;0;2;0;0;2;;;Sat Jul  9 19:51:39 2016;Sat Jul  9 19:52:08 2016;-52;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;laboratorio wifi;80:B6:86:D5:F9:4B;;11;No;WPA,AES-CCM;No;54.0;0;17;0;0;0;0;0;;;Sat Jul  9 19:51:42 2016;Sat Jul  9 19:52:07 2016;-40;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
